from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
TM0540,TB0539,,,,,2,35
TB2033,A0484,,,,,2,672
A0484,TB2033,,,,,2,672
A2213,A0484,,,,,2,566
A0484,A2213,,,,,2,566
A6276,A0484,,,,,2,260
A0484,A6276,,,,,2,260
TM0380,TM0540,,,,,2,706
A0484,TB1224,,,,,2,162
A6147,TM0540,,,,,2,478
TM0540,A6147,,,,,2,478
TB2034,A0484,,,,,2,639
A0484,TB2034,,,,,2,639
A2148,TM0540,,,,,2,540
TM0540,A2148,,,,,2,540
A2674,TM0540,,,,,2,377
TM0540,A2674,,,,,2,377
A2662,TM0540,,,,,2,608
TM0540,A2662,,,,,2,608
TB2326,TB1819,,,,,2,426
A2845,A0484,,,,,2,211
A0484,A2845,,,,,2,211
A0717,A1748,,,,,2,367
A1748,A0717,,,,,2,367
A2664,TM0540,,,,,2,370
TM0540,A2664,,,,,2,370
TM0727,TM0540,,,,,2,616
TM0540,TM0727,,,,,2,616
A2036,A0484,,,,,2,621
A0484,A2036,,,,,2,621
TB2664,TM0540,,,,,2,370
A6145,TM0540,,,,,2,52
TM0540,A6145,,,,,2,52
TB2008,A0484,,,,,2,417
A0484,TB2008,,,,,2,417
A0077,TB0605,,,,,2,532
TB0605,A0077,,,,,2,532
TM0375,TM0540,,,,,2,126
TM0540,TM0375,,,,,2,126
A1384,TM0540,,,,,2,723
TM0540,A1384,,,,,2,723
A0726,TM0540,,,,,2,705
TM0540,A0726,,,,,2,705
TM0386,A6023,,,,,2,492
A0728,TM0540,,,,,2,581
A6023,A6588,,,,,2,655
A0601,A0484,,,,,2,344
A0484,A0601,,,,,2,344
TB0484,A0484,,,,,2,0
A0484,TB0484,,,,,2,0
TM0476,TM0540,,,,,2,164
TM0540,TM0476,,,,,2,164
A1224,A0484,,,,,2,162
A0484,A1224,,,,,2,162
A2336,TM0376,,,,,2,688
A6277,A0484,,,,,2,104
A0484,A6277,,,,,2,104
TB2674,TM0540,,,,,2,386
TM0540,TB2674,,,,,2,386
TB0727,TM0540,,,,,2,584
TM0540,TB0727,,,,,2,584
TM0400,A1325,,,,,2,338
A1325,TM0400,,,,,2,338
A1001,TM0540,,,,,2,607
TM0540,A1001,,,,,2,607
TB1764,TM0540,,,,,2,480
TM0540,TB1764,,,,,2,480
M204,TM0540,,,,,2,725
TB0728,TM0540,,,,,2,567
TM0540,TB0728,,,,,2,567
TB0599,TB1226,,,,,2,459
TB0546,TM0540,,,,,2,366
TM0540,TB0546,,,,,2,366
TM0374,TM0540,,,,,2,110
TM0540,TM0374,,,,,2,110
A1705,TB1719,,,,,2,348
TB1719,A1705,,,,,2,348
A2519,TM0540,,,,,2,474
TM0540,A2519,,,,,2,474
A1763,TM0540,,,,,2,462
A2143,TM0540,,,,,2,480
TM0540,A2143,,,,,2,480
TB1763,TM0540,,,,,2,462
TM0540,TB1763,,,,,2,462
TM0728,TM0540,,,,,2,581
TM0540,TM0728,,,,,2,581
A6698,TM0540,,,,,2,478
TM0540,A6698,,,,,2,478
A2671,TM0540,,,,,2,38
TM0540,A2671,,,,,2,38
A1000,TM0540,,,,,2,662
TM0477,TM0540,,,,,2,210
TM0540,TM0477,,,,,2,210
A2142,TM0540,,,,,2,473
TM0540,A2142,,,,,2,473
A0539,TM0540,,,,,2,35
TM0540,A0539,,,,,2,35
A2673,TM0540,,,,,2,258
TM0540,A2673,,,,,2,258
A1446,A1447,,,,,2,10
A1447,A1446,,,,,2,10
A2670,TM0540,,,,,2,52
TM0540,A2670,,,,,2,52
A1226,A0484,,,,,2,233
A2870,A2871,,,,,2,16
A2871,A2870,,,,,2,16
A2870,A2704,,,,,2,463
A2704,A2870,,,,,2,463
A1422,TM6181,,,,,2,616
TM6181,A1422,,,,,2,616
A1422,A6331,,,,,2,311
A6331,A1422,,,,,2,311
A6023,A1574,,,,,2,656
A2843,A2841,,,,,2,308
TM0622,TM1948,,,,,2,576
A6668,A2171,,,,,2,393
A2113,A2171,,,,,2,683
A2171,A2113,,,,,2,683
TM1948,TM0622,,,,,2,576
TB2105,A2171,,,,,2,318
A2171,TB2105,,,,,2,318
TB2453,A2797,,,,,2,675
A2797,TB2453,,,,,2,675
A6355,A2841,,,,,2,400
A2841,A6355,,,,,2,400
A2171,TM1058,,,,,2,548
A1515,A2411,,,,,2,299
A2411,A1515,,,,,2,299
A2841,A2843,,,,,2,308
A6229,TM0356,,,,,2,67
TM0356,A6229,,,,,2,67
A1025,A2841,,,,,2,650
A2841,A1025,,,,,2,650
A6019,TB1819,,,,,2,514
TB1819,A6019,,,,,2,514
A6588,A6023,,,,,2,655
A1514,A2411,,,,,2,268
A2411,A1514,,,,,2,268
A2410,A2411,,,,,2,28
A2411,A2410,,,,,2,28
TB1998,TM0376,,,,,2,320
TB2213,A0484,,,,,2,583
A0484,TB2213,,,,,2,583
A2842,A2841,,,,,2,7
A2841,A2842,,,,,2,7
TB2010,A0484,,,,,2,454
A0484,TB2010,,,,,2,454
A0842,A2841,,,,,2,473
A2841,A0842,,,,,2,473
TB6279,A0484,,,,,2,293
A0484,TB6279,,,,,2,293
TB0400,A1325,,,,,2,395
A1337,A1746,,,,,2,560
A1746,A1337,,,,,2,560
A6585,A2411,,,,,2,203
A2411,A6585,,,,,2,203
TB1226,A0484,,,,,2,233
A0484,TB1226,,,,,2,233
A0065,A1748,,,,,2,299
A1748,A0065,,,,,2,299
TB2035,TB0599,,,,,2,430
TB0599,TB2035,,,,,2,430
A6407,A2171,,,,,2,430
A2171,A6407,,,,,2,430
A0959,A2841,,,,,2,651
A0803,A2171,,,,,2,329
A2171,A0803,,,,,2,329
TB0490,A0484,,,,,2,53
A0484,TB0490,,,,,2,53
A1499,A2411,,,,,2,321
A2411,A1499,,,,,2,321
TB1719,A1788,,,,,2,325
A6086,A2171,,,,,2,405
A2171,A6086,,,,,2,405
A2082,A2171,,,,,2,147
A2171,A2082,,,,,2,147
A2034,A0484,,,,,2,653
A6188,A0484,,,,,2,81
A0484,A6188,,,,,2,81
TB0382,A2171,,,,,2,386
A2171,TB0382,,,,,2,386
A2008,A0484,,,,,2,417
A0484,A2008,,,,,2,417
TB0377,A2171,,,,,2,455
A2171,TB0377,,,,,2,455
A0598,A0484,,,,,2,317
A0484,A0598,,,,,2,317
A0843,A2841,,,,,2,420
A6167,A2171,,,,,2,136
A2171,A6167,,,,,2,136
TB0601,A0484,,,,,2,344
A0484,TB0601,,,,,2,344
A6278,A0484,,,,,2,58
A0484,A6278,,,,,2,58
A0339,A2171,,,,,2,589
A2171,A0339,,,,,2,589
TB6670,A2171,,,,,2,411
A2171,TB6670,,,,,2,411
A1336,A1746,,,,,2,542
A1746,A1336,,,,,2,542
TB2087,A2171,,,,,2,151
TM2086,A2171,,,,,2,322
A2171,TM2086,,,,,2,322
