table_name,field_name,language,translation,record_id,record_sub_id,field_value
routes,long_name,en,PL. KNYAZ ALEKSANDAR I - ZH.K. LEVSKI G - PL. KNYAZ ALEKSANDAR I,,,ПЛ. КНЯЗ АЛЕКСАНДЪР I - Ж.К. ЛЕВСКИ Г - ПЛ. КНЯЗ АЛЕКСАНДЪР I
routes,long_name,en,Ul.Tаrnovo - Avtostantsiia Bankia - Ul.Tаrnovo,,,Ул.Търново - Автостанция Банкя - Ул.Търново
routes,long_name,en,ZH. K. OBELYA 1 - PLODOHRANILISHTE - ZH. K. OBELYA 1,,,Ж. К. ОБЕЛЯ 1 - ПЛОДОХРАНИЛИЩЕ - Ж. К. ОБЕЛЯ 1
routes,long_name,en,Letishte Sofiia - Vitosha - Letishte Sofiia,,,Летище София - Витоша - Летище София
routes,long_name,en,Bul. Prof. TSv. Lazarov - zh.k. Hadzhi Dimitаr - Bul. Prof. TSv. Lazarov,,,Бул. Проф. Цв. Лазаров - ж.к. Хаджи Димитър - Бул. Проф. Цв. Лазаров
routes,long_name,en,Zooparka - TSentаr po higiena - Zooparka,,,Зоопарка - Център по хигиена - Зоопарка
routes,long_name,en,Hadzhi Dimitаr - Gorna bania - Hadzhi Dimitаr,,,Хаджи Димитър - Горна баня - Хаджи Димитър
routes,long_name,en,UL. GEN. GURKO - LETISHTE SOFIYA TERMINAL 2 - UL. GEN. GURKO,,,УЛ. ГЕН. ГУРКО - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2 - УЛ. ГЕН. ГУРКО
stops,stop_name,en,SHOLTS BALGARIYA - PO ZHELANIE,,,ШОЛЦ БЪЛГАРИЯ - ПО ЖЕЛАНИЕ
routes,long_name,en,GARA VLADAYA - AVTOSTANTSIYA KNYAZHEVO - GARA VLADAYA,,,ГАРА ВЛАДАЯ - АВТОСТАНЦИЯ КНЯЖЕВО - ГАРА ВЛАДАЯ
routes,long_name,en,ZH.K.IVAN VAZOV - Pl. Makedoniia - ZH.K.IVAN VAZOV,,,Ж.К.ИВАН ВАЗОВ - Пл. Македония - Ж.К.ИВАН ВАЗОВ
routes,long_name,en,ZH.k. Gotse Deltchev - ZH.K. MLADOST 4 - ZH.k. Gotse Deltchev,,,Ж.к. Гоце Делчев - Ж.К. МЛАДОСТ 4 - Ж.к. Гоце Делчев
routes,long_name,en,Selo Kаtina - Metrostantsiia Kniaginia Mariia Luiza - Selo Kаtina,,,Село Кътина - Метростанция Княгиня Мария Луиза - Село Кътина
